,card_materials,card_patterns,card_bitpoints,card_drift,card_mana,card_ingot,dragon_allhorns,dragon_wings,dragon_eye_colors,dragon_gatget,dragon_skin_texture
1258,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1259,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1260,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1261,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1262,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1263,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1264,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1265,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1266,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1267,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1268,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1269,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1270,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1271,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1272,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1273,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1274,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1275,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1276,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1277,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1278,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1279,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1280,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1281,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1282,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1283,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1284,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1285,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1286,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1287,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1288,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1289,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1290,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1291,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1292,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1293,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1294,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1295,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1296,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1297,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1298,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1299,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1300,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1301,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1302,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1303,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1304,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1305,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1306,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1307,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1308,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1309,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1310,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1311,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1312,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1313,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1314,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1315,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1316,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1317,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1318,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1319,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1320,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1321,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1322,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1323,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1324,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1325,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1326,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1327,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1328,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1329,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1330,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1331,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1332,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1333,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1334,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1335,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1336,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1337,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1338,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1339,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1340,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1341,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1342,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1343,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1344,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1345,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1346,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1347,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1348,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1349,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1350,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1351,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1352,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1353,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1354,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1355,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1356,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1357,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1358,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1359,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1360,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1361,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1362,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1363,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1364,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1365,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1366,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1367,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1368,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1369,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1370,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1371,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1372,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1373,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1374,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1375,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1376,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1377,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1378,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1379,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1380,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1381,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1382,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1383,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1384,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1385,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1386,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1387,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1388,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1389,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1390,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1391,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1392,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1393,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1394,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1395,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1396,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1397,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1398,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1399,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1400,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1401,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1402,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1403,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1404,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1405,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1406,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1407,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1408,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1409,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1410,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1411,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1412,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1413,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1414,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1415,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1416,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1417,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1418,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1419,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1420,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1421,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1422,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1423,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1424,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1425,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1426,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1427,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1428,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1429,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1430,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1431,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1432,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1433,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1434,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1435,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1436,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1437,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1438,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1439,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1440,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1441,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1442,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1443,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1444,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1445,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1446,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1447,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1448,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1449,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1450,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1451,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1452,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1453,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1454,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1455,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1456,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1457,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1458,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1459,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1460,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1461,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1462,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1463,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1464,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1465,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1466,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1467,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1468,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1469,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1470,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1471,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1472,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1473,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1474,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1475,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1476,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1477,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1478,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1479,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1480,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1481,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1482,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1483,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1484,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1485,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1486,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1487,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1488,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1489,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1490,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1491,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1492,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1493,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1494,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1495,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1496,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1497,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1498,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1499,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1500,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1501,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1502,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1503,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1504,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1505,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1506,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1507,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1508,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1509,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1510,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1511,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1512,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1513,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1514,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1515,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1516,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1517,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1518,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1519,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1520,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1521,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1522,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1523,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1524,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1525,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1526,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1527,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1528,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1529,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1530,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1531,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1532,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1533,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1534,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1535,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1536,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1537,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1538,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1539,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1540,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1541,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1542,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1543,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
1544,Gold,Kevlar,720,60,4,3,Gold,Orange,Black,ZENT Token Platinum,Red
1545,Platinum,Hexagon Grid,576,72,2,4,Bone,Yellow,Brown,ZENT Token Titanium,Dark
1546,Platinum,Hairy,720,72,4,2,Rainbow,Red,Brown,ZENT Token Gold,Red
1547,Gold,Candy,720,60,6,4,Bone,Yellow,Green & Blue,Crown,Purple
1548,Platinum,Hexagon Grid,864,48,4,3,Bone,Pink,Black,Crown,Red
1549,Gold,Pixel Gradient,720,60,6,4,Rainbow,Yellow,Brown,ZENT Token Platinum,Purple
1550,Gold,Candy,576,72,2,3,Gold,Green,Black,ZENT Token Titanium,Green
1551,Gold,Kevlar,720,60,4,3,Bone,Red,Brown,ZENT Token Gold,Red
1552,Titanium,Pixel Gradient,864,48,6,4,Rainbow,Pink,Green & Blue,Crown,Blue
